,threshold,ASR,delta_ASR,CACC,delta_CACC
0,0,100,100,93.97,71.97
1,1,100,80,93.97,51.97
2,2,100,78,93.97,36.30333333
3,3,100,81.33333333,93.97,26.63666667
4,4,100,82.66666667,93.97,20.97
5,5,100,83.33333333,93.97,16.97
6,6,100,82.66666667,93.97,15.30333333
7,7,100,79.66666667,93.97,14.30333333
8,8,100,78,93.97,11.30333333
9,9,100,73,93.97,10.63666667
10,10,100,70,93.97,8.97
11,11,100,67.33333333,93.97,9.636666667
12,12,100,61,93.97,9.636666667
13,13,100,59.66666667,93.97,8.97
14,14,100,59.33333333,93.97,8.636666667
15,15,100,56,93.97,8.636666667
16,16,100,49.33333333,93.97,8.97
17,17,100,42.66666667,93.97,8.303333333
18,18,100,38,93.97,8.303333333
19,19,100,31.66666667,93.97,7.636666667
20,20,100,27.33333333,93.97,7.303333333
21,21,100,23,93.97,7.303333333
22,22,100,18,93.97,7.303333333
23,23,100,16.33333333,93.97,6.97
24,24,100,13.33333333,93.97,7.303333333
25,25,100,10.66666667,93.97,7.303333333
26,26,100,9,93.97,6.97
27,27,100,5.666666667,93.97,6.636666667
28,28,100,5.333333333,93.97,6.303333333
29,29,100,5,93.97,6.303333333